"","SubjectID_unique","Side","Intercept","Slope","group_id"
"1","1_1","right",0.259846981224718,0.19553414531727,"3_1"
"2","1_2","right",0.279207112975882,0.201430190161898,"4_1"
"3","10_1","left",0.352296065189777,0.216657864492136,"10_12"
"4","10_2","left",0.253104457367654,0.224680241634665,"10_9"
"5","11_1","right",0.174459260801424,0.207588984760454,"9_11"
"6","11_2","right",0.182155608293144,0.220058000691721,"12_11"
"7","12_1","right",-0.130480124777104,0.230579460165299,"10_12"
"8","12_2","left",0.395622718182082,0.213620502503279,"12_11"
"9","13_1","left",-0.0117996166848813,0.215875578437123,"13_14"
"10","13_2","left",0.35353460716169,0.191778661429264,"13_15"
"11","14_1","right",-0.0870793946225977,0.196858646875613,"13_14"
"12","14_2","left",0.270765566684272,0.219949314512486,"14_16"
"13","15_1","left",-0.116431536093814,0.220449843847425,"15_16"
"14","15_2","right",0.49805727046021,0.183737437753368,"13_15"
"15","16_1","right",-0.0917995613544081,0.2292180179837,"15_16"
"16","16_2","right",0.448000717904816,0.21583659581992,"14_16"
"17","17_1","right",-0.0112818336355073,0.224044151072895,"19_17"
"18","17_2","right",0.133297342848744,0.233435382677205,"20_17"
"19","18_1","right",0.495127272242649,0.213282691788241,"20_18"
"20","18_2","right",0.171942848344381,0.218663522340393,"19_18"
"21","19_1","left",0.516002341259926,0.208031375629308,"19_17"
"22","19_2","left",0.38990520770427,0.214611030359101,"19_18"
"23","2_1","right",0.328282325368408,0.210655883936341,"4_2"
"24","2_2","right",0.400489496043858,0.221830794356276,"3_2"
"25","20_1","left",-0.0354208577875827,0.228008850991846,"20_18"
"26","20_2","left",0.0601736331438696,0.206406400162225,"20_17"
"27","21_1","left",-0.170258955237985,0.211291620077905,"21_24"
"28","21_2","left",-0.0171948012119862,0.215083680000729,"21_23"
"29","22_1","right",-0.290158329455213,0.207884742150595,"23_22"
"30","22_2","right",0.04337655957363,0.215782376568046,"24_22"
"31","23_1","left",0.349458160500644,0.203283176611578,"23_22"
"32","23_2","right",0.212211173277907,0.225849761195078,"21_23"
"33","24_1","right",0.525590515282698,0.199451008208545,"21_24"
"34","24_2","left",-0.291428650795027,0.203167073717669,"24_22"
"35","25_KK_1","left",0.744856080909042,0.207898919245822,"25_KK_27"
"36","25_KK_2","left",0.516286850719991,0.219694162524581,"25_KK_28"
"37","26_1","left",0.264513067706105,0.218352879243806,"26_28"
"38","26_2","left",0.276102823187828,0.208504173984808,"26_27"
"39","27_1","right",0.277868492138047,0.200105113917305,"25_KK_27"
"40","27_2","right",0.282549740467776,0.206987829235359,"26_27"
"41","28_1","right",0.284709859246631,0.198274824645951,"26_28"
"42","28_2","right",-0.0232628164475729,0.224755132397348,"25_KK_28"
"43","29_1","left",0.625724705083543,0.207176939866453,"29_32"
"44","29_2","left",0.434027614660139,0.204785092363583,"29_31"
"45","3_1","left",0.326793111350138,0.201189750251438,"3_1"
"46","3_2","left",-0.00903939818098967,0.218184416137774,"3_2"
"47","30_1","left",0.43199040205765,0.196509798105272,"30_31"
"48","30_2","left",-0.155465879394077,0.217756324029365,"30_32"
"49","31_1","right",0.161202188749056,0.199213435068493,"30_31"
"50","31_2","right",-0.0930508075949321,0.209082276940568,"29_31"
"51","32_1","right",0.0772231788503286,0.205903590172032,"29_32"
"52","32_2","right",-0.157725243909335,0.215069167838581,"30_32"
"53","33_1","left",-0.0814646398663507,0.21852221356304,"33_35"
"54","33_2","left",-0.107318490291677,0.230953005900399,"33_36"
"55","34_1","left",0.746028507116085,0.203330149934398,"34_36"
"56","34_2","left",0.986626908063953,0.196643563217927,"34_35"
"57","35_1","right",-0.0861871193424797,0.218407005437016,"33_35"
"58","35_2","right",0.0737648485390094,0.216326579329853,"34_35"
"59","36_1","right",0.287096113273133,0.206260005872103,"34_36"
"60","36_2","right",0.622397860983679,0.209331874984466,"33_36"
"61","37_1","left",0.259535801051108,0.198007470493842,"37_40"
"62","37_2","left",0.151739309349705,0.217024726252338,"37_39"
"63","38_1","left",-0.37417908429617,0.23760774019153,"38_39"
"64","38_2","left",0.00786629769640587,0.200628480265679,"38_40"
"65","39_1","right",-0.0858801324776905,0.221188896185814,"38_39"
"66","39_2","right",-0.061163614602982,0.221112434392018,"37_39"
"67","4_1","left",0.0493967486829777,0.216601071060655,"4_2"
"68","4_2","left",0.288760199294387,0.218347366955955,"4_1"
"69","40_1","right",0.0195218310682679,0.215282247448258,"37_40"
"70","40_2","right",0.416915548133584,0.202795815185318,"38_40"
"71","41_1","right",-0.013905001324461,0.21109579048665,"43_41"
"72","41_2","right",0.315879265042862,0.205784401820089,"44_41"
"73","42_1","right",0.0388180497390579,0.21038824988003,"44_42"
"74","42_2","right",-0.101247178324547,0.209497082584395,"43_42"
"75","43_1","left",-0.243275842193899,0.209999932478014,"43_41"
"76","43_2","left",-0.101858375616961,0.214763821804282,"43_42"
"77","44_1","left",0.0416412700972366,0.211742435862858,"44_42"
"78","44_2","left",0.0818813981983761,0.204413017651425,"44_41"
"79","45_1","left",0.436190160985888,0.192258978717981,"45_46"
"80","45_2","left",0.162720975019653,0.228217577298805,"45_47"
"81","46_1","right",0.750139053054791,0.202145640894627,"45_46"
"82","46_2","right",0.754711036978614,0.197589718684909,"48_46"
"83","47_1","right",0.785447797554746,0.201275441767294,"48_47"
"84","47_2","right",0.275700560640788,0.201926457998255,"45_47"
"85","48_1","left",0.254857080169921,0.201916979062783,"48_47"
"86","48_2","left",0.218205095080261,0.221701210045644,"48_46"
"87","49_1","left",0.630746070019811,0.192927513498493,"49_51"
"88","49_2","left",0.331374298302269,0.203203081977606,"49_52"
"89","5_1","right",-0.2617861897967,0.213677332300498,"6_5"
