"","ID","benevolent_score","hostile_score","overall_score","gender"
"1",1,3.90909090909091,4.18181818181818,4.04545454545454,"Male"
"2",2,4.09090909090909,4.90909090909091,4.5,"Female"
"3",3,4.27272727272727,4.63636363636364,4.45454545454546,"Male"
"4",4,3.09090909090909,2.54545454545455,2.81818181818182,"Female"
"5",5,3.54545454545455,3.09090909090909,3.31818181818182,"Male"
"6",6,2.90909090909091,2.54545454545455,2.72727272727273,"Female"
"7",7,2.36363636363636,2.81818181818182,2.59090909090909,"Male"
"8",8,3.09090909090909,2.54545454545455,2.81818181818182,"Female"
"9",9,3.36363636363636,4.36363636363636,3.86363636363636,"Male"
"10",10,3.63636363636364,2.90909090909091,3.27272727272727,"Female"
"11",11,2.45454545454545,3.09090909090909,2.77272727272727,"Male"
"12",12,3,2.81818181818182,2.90909090909091,"Female"
"13",13,4.36363636363636,3.09090909090909,3.72727272727273,"Male"
"14",14,2.72727272727273,2.18181818181818,2.45454545454545,"Female"
"15",15,3.81818181818182,4.18181818181818,4,"Male"
"16",16,3.54545454545455,2.72727272727273,3.13636363636364,"Female"
"17",17,2.90909090909091,3.81818181818182,3.36363636363636,"Male"
"18",18,3.54545454545455,2.72727272727273,3.13636363636364,"Female"
"19",19,3.81818181818182,4.18181818181818,4,"Male"
"20",20,4.63636363636364,3.90909090909091,4.27272727272727,"Female"
"21",21,3.27272727272727,4,3.63636363636364,"Male"
"22",22,3.54545454545455,3.90909090909091,3.72727272727273,"Female"
"23",23,3.72727272727273,3.81818181818182,3.77272727272727,"Male"
"24",24,3.81818181818182,4.54545454545455,4.18181818181818,"Female"
"25",26,4.63636363636364,4.72727272727273,4.68181818181818,"Female"
"26",27,2.90909090909091,2.90909090909091,2.90909090909091,"Male"
"27",28,4.72727272727273,3.90909090909091,4.31818181818182,"Female"
"28",29,3.27272727272727,3.18181818181818,3.22727272727273,"Male"
"29",30,3.45454545454545,2.72727272727273,3.09090909090909,"Female"
"30",31,4.45454545454545,5,4.72727272727273,"Male"
"31",32,2.90909090909091,4.09090909090909,3.5,"Female"
"32",33,3.18181818181818,2.90909090909091,3.04545454545455,"Male"
"33",34,3.18181818181818,1.45454545454545,2.31818181818182,"Female"
"34",35,3.09090909090909,2.81818181818182,2.95454545454545,"Male"
"35",36,3.36363636363636,3.18181818181818,3.27272727272727,"Female"
"36",37,2.72727272727273,2.54545454545455,2.63636363636364,"Male"
"37",38,2.45454545454545,2.72727272727273,2.59090909090909,"Female"
"38",39,2.72727272727273,2.81818181818182,2.77272727272727,"Male"
"39",40,3.09090909090909,4.09090909090909,3.59090909090909,"Female"
"40",41,3.81818181818182,3.81818181818182,3.81818181818182,"Male"
"41",42,4.27272727272727,3.90909090909091,4.09090909090909,"Female"
"42",43,2.81818181818182,2.81818181818182,2.81818181818182,"Male"
"43",44,3,3.90909090909091,3.45454545454545,"Female"
"44",45,3.54545454545455,3.63636363636364,3.59090909090909,"Male"
"45",46,4.36363636363636,4,4.18181818181818,"Female"
"46",47,3.36363636363636,3,3.18181818181818,"Male"
"47",48,3.36363636363636,2.09090909090909,2.72727272727273,"Female"
"48",49,1.81818181818182,2.72727272727273,2.27272727272727,"Male"
"49",50,3.63636363636364,3.27272727272727,3.45454545454545,"Female"
"50",51,2.27272727272727,3.27272727272727,2.77272727272727,"Male"
"51",52,3.36363636363636,3,3.18181818181818,"Female"
"52",53,2.54545454545455,4,3.27272727272727,"Male"
"53",54,3.81818181818182,4,3.90909090909091,"Female"
"54",55,2.81818181818182,3.36363636363636,3.09090909090909,"Male"
"55",56,3.54545454545455,2.18181818181818,2.86363636363636,"Female"
"56",57,3.72727272727273,4.45454545454545,4.09090909090909,"Male"
"57",58,3.72727272727273,3,3.36363636363636,"Female"
"58",59,2.36363636363636,3.45454545454545,2.90909090909091,"Male"
"59",60,2.54545454545455,3.36363636363636,2.95454545454545,"Female"
"60",61,3.18181818181818,2.90909090909091,3.04545454545455,"Male"
"61",62,3.54545454545455,3.54545454545455,3.54545454545455,"Female"
"62",63,2.81818181818182,3.45454545454545,3.13636363636364,"Male"
"63",64,4.18181818181818,3.81818181818182,4,"Female"
