,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,06,21,Female
1,2,1,06,21,Female
2,3,2,06,21,Female
3,4,3,06,21,Female
4,5,4,06,21,Female
5,6,2,06,21,Female
6,7,3,06,21,Female
7,8,1,06,21,Female
8,9,3,06,21,Female
9,10,4,06,21,Female
10,11,1,06,21,Female
11,12,2,06,21,Female
12,13,2,06,21,Female
13,14,3,06,21,Female
14,15,1,06,21,Female
15,16,2,06,21,Female
16,17,1,06,21,Female
17,18,2,06,21,Female
18,19,3,06,21,Female
19,20,1,06,21,Female
20,21,2,06,21,Female
21,22,2,06,21,Female
