,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,5,60,21,Female
1,2,0,60,21,Female
2,3,3,60,21,Female
3,4,2,60,21,Female
4,5,3,60,21,Female
5,6,0,60,21,Female
6,7,3,60,21,Female
7,8,0,60,21,Female
8,9,5,60,21,Female
9,10,2,60,21,Female
10,11,2,60,21,Female
11,12,3,60,21,Female
12,13,4,60,21,Female
13,14,2,60,21,Female
14,15,1,60,21,Female
15,16,0,60,21,Female
16,17,0,60,21,Female
17,18,3,60,21,Female
18,19,4,60,21,Female
19,20,0,60,21,Female
20,21,3,60,21,Female
21,22,2,60,21,Female
