,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,26,24,Female
1,2,0,26,24,Female
2,3,5,26,24,Female
3,4,0,26,24,Female
4,5,0,26,24,Female
5,6,4,26,24,Female
6,7,5,26,24,Female
7,8,0,26,24,Female
8,9,0,26,24,Female
9,10,0,26,24,Female
10,11,0,26,24,Female
11,12,0,26,24,Female
12,13,2,26,24,Female
13,14,0,26,24,Female
14,15,0,26,24,Female
15,16,0,26,24,Female
16,17,0,26,24,Female
17,18,5,26,24,Female
18,19,0,26,24,Female
19,20,0,26,24,Female
20,21,2,26,24,Female
21,22,0,26,24,Female
