,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,2,36,24,Female
1,2,3,36,24,Female
2,3,4,36,24,Female
3,4,1,36,24,Female
4,5,1,36,24,Female
5,6,5,36,24,Female
6,7,5,36,24,Female
7,8,2,36,24,Female
8,9,1,36,24,Female
9,10,3,36,24,Female
10,11,3,36,24,Female
11,12,4,36,24,Female
12,13,4,36,24,Female
13,14,1,36,24,Female
14,15,3,36,24,Female
15,16,1,36,24,Female
16,17,2,36,24,Female
17,18,3,36,24,Female
18,19,4,36,24,Female
19,20,0,36,24,Female
20,21,3,36,24,Female
21,22,1,36,24,Female
